generation,source,target,fitness,gain
0,-1,1,134.254776,0.000000
0,-1,2,138.854202,0.000000
0,-1,3,139.056229,0.000000
0,-1,4,139.683273,0.000000
0,-1,5,135.108231,17752585715518231704869273600.000000
0,-1,6,143.245331,0.000000
0,-1,7,136.933121,0.000000
0,-1,8,147.412140,0.000000
0,-1,9,136.376968,0.000000
0,-1,10,141.800735,0.000000
0,-1,11,139.681915,0.000000
0,-1,12,146.307800,0.000000
0,-1,13,131.928528,0.000000
0,-1,14,138.581802,0.000000
0,-1,15,144.187775,0.000000
0,-1,16,135.069656,0.000000
0,-1,17,141.239670,0.000000
0,-1,18,135.662674,0.000000
0,-1,19,131.428558,0.000000
0,-1,20,139.457657,0.000000
0,-1,21,138.366684,0.000000
0,-1,22,132.395615,0.000000
0,-1,23,137.401672,0.000000
0,-1,24,145.278488,0.000000
0,-1,25,143.378677,0.000000
0,-1,26,133.140045,0.000000
0,-1,27,139.156403,0.000000
0,-1,28,141.426300,0.000000
0,-1,29,133.686996,0.000000
0,-1,30,140.927567,0.000000
1,5,31,131.890198,-2.791306
1,1,31,131.890198,-2.791306
1,11,32,130.532761,-8.886398
1,27,32,130.532761,-8.886398
1,18,33,141.423843,3.751541
1,11,33,141.423843,3.751541
1,22,34,134.021622,-3.798843
1,6,34,134.021622,-3.798843
1,5,35,129.744583,-4.379562
1,26,35,129.744583,-4.379562
1,22,36,126.845673,-6.195633
1,29,36,126.845673,-6.195633
1,2,37,134.571838,-5.568420
1,28,37,134.571838,-5.568420
1,13,38,132.212021,-2.218796
1,7,38,132.212021,-2.218796
1,18,39,140.574814,0.104233
1,24,39,140.574814,0.104233
1,29,40,138.123779,-0.813599
1,15,40,138.123779,-0.813599
1,21,41,137.570908,-1.341263
1,20,41,137.570908,-1.341263
1,27,42,127.118576,-11.987747
1,3,42,127.118576,-11.987747
1,30,43,132.762527,-6.884598
1,21,43,132.762527,-6.884598
1,22,44,132.395615,0.000000
1,22,44,132.395615,0.000000
1,16,45,129.442719,-4.935608
1,29,45,129.442719,-4.935608
1,1,46,130.022141,-3.303055
1,22,46,130.022141,-3.303055
1,1,47,135.118256,2.026611
1,13,47,135.118256,2.026611
1,11,48,132.479095,-3.076141
1,19,48,132.479095,-3.076141
1,13,49,127.575150,-7.967316
1,27,49,127.575150,-7.967316
1,13,50,134.586090,0.155273
1,7,50,134.586090,0.155273
1,3,51,131.387665,-7.431351
1,14,51,131.387665,-7.431351
1,1,52,142.649933,8.679047
1,29,52,142.649933,8.679047
1,21,53,138.366684,0.000000
1,21,53,138.366684,0.000000
1,13,54,136.256577,0.451355
1,11,54,136.256577,0.451355
1,23,55,133.626282,-4.602661
1,3,55,133.626282,-4.602661
1,18,56,141.094971,4.797073
